Time﻿;P [kW]
20.06.20 00:15;0
20.06.20 00:30;0
20.06.20 00:45;0
20.06.20 01:00;0
20.06.20 01:15;0
20.06.20 01:30;0
20.06.20 01:45;0
20.06.20 02:00;0
20.06.20 02:15;0
20.06.20 02:30;0
20.06.20 02:45;0
20.06.20 03:00;0
20.06.20 03:15;0
20.06.20 03:30;0
20.06.20 03:45;0
20.06.20 04:00;0
20.06.20 04:15;0
20.06.20 04:30;0
20.06.20 04:45;0
20.06.20 05:00;0
20.06.20 05:15;0
20.06.20 05:30;0
20.06.20 05:45;0
20.06.20 06:00;0
20.06.20 06:15;0
20.06.20 06:30;0
20.06.20 06:45;0
20.06.20 07:00;0
20.06.20 07:15;0,1
20.06.20 07:30;0,8
20.06.20 07:45;1,72
20.06.20 08:00;3,05
20.06.20 08:15;4,57
20.06.20 08:30;6,61
20.06.20 08:45;3,03
20.06.20 09:00;1,43
20.06.20 09:15;1,21
20.06.20 09:30;3,43
20.06.20 09:45;4,31
20.06.20 10:00;6,87
20.06.20 10:15;8,03
20.06.20 10:30;14,39
20.06.20 10:45;14,39
20.06.20 11:00;23,87
20.06.20 11:15;12,23
20.06.20 11:30;21,51
20.06.20 11:45;43,59
20.06.20 12:00;46,75
20.06.20 12:15;17,49
20.06.20 12:30;49,07
20.06.20 12:45;51,02
20.06.20 13:00;52,76
20.06.20 13:15;48,98
20.06.20 13:30;50,71
20.06.20 13:45;48,88
20.06.20 14:00;46,25
20.06.20 14:15;4,47
20.06.20 14:30;41,03
20.06.20 14:45;45,11
20.06.20 15:00;38,14
20.06.20 15:15;21,41
20.06.20 15:30;15,77
20.06.20 15:45;8,05
20.06.20 16:00;13,87
20.06.20 16:15;5,26
20.06.20 16:30;5,24
20.06.20 16:45;4,71
20.06.20 17:00;4,49
20.06.20 17:15;3,92
20.06.20 17:30;3,79
20.06.20 17:45;3,22
20.06.20 18:00;3,09
20.06.20 18:15;2,49
20.06.20 18:30;1,63
20.06.20 18:45;0,83
20.06.20 19:00;0,47
20.06.20 19:15;0,11
20.06.20 19:30;0
20.06.20 19:45;0
20.06.20 20:00;0
20.06.20 20:15;0
20.06.20 20:30;0
20.06.20 20:45;0
20.06.20 21:00;0
20.06.20 21:15;0
20.06.20 21:30;0
20.06.20 21:45;0
20.06.20 22:00;0
20.06.20 22:15;0
20.06.20 22:30;0
20.06.20 22:45;0
20.06.20 23:00;0
20.06.20 23:15;0
20.06.20 23:30;0
20.06.20 23:45;0
21.06.20 00:00;0
